offence_year,division,ticket_type,offence_category,age_group,ticket_count
2020,NSA,Prov Offence Notice - Part I (Pot),Distracted Driving,Adult,1
2020,NSA,Prov Offence Notice - Part I (Pot),Speeding,Adult,1
2020,NSA,Prov Offence Notice - Part I (Pot),Aggressive Driving,Adult,1
2020,NSA,Prov Offence Notice - Part I (Pot),Other HTA,Adult,1
2020,NSA,Prov Offence Notice - Part I (Pot),Aggressive Driving,Adult,1
2020,NSA,Prov Offence Notice - Part I (Pot),Aggressive Driving,Adult,1
2020,NSA,Prov Offence Notice - Part I (Pot),All CAIA,Adult,1
2020,NSA,Prov Offence Notice - Part I (Pot),Aggressive Driving,Adult,1
2020,NSA,Prov Offence Notice - Part I (Pot),All CAIA,Adult,1
2020,NSA,Prov Offence Notice - Part I (Pot),Speeding,Adult,1
2020,NSA,Prov Offence Notice - Part I (Pot),All CAIA,Adult,1
2020,NSA,Prov Offence Notice - Part I (Pot),Aggressive Driving,Adult,1
2020,NSA,Prov Offence Notice - Part I (Pot),All CAIA,Adult,1
2020,NSA,Prov Offence Notice - Part I (Pot),Other HTA,Adult,1
2020,NSA,Prov Offence Notice - Part I (Pot),Speeding,Adult,1
2020,NSA,Prov Offence Notice - Part I (Pot),Distracted Driving,Adult,1
2020,NSA,Prov Offence Notice - Part I (Pot),Distracted Driving,Adult,1
2020,NSA,Prov Offence Notice - Part I (Pot),All CAIA,Adult,1
2020,NSA,Prov Offence Notice - Part I (Pot),Other HTA,Adult,1
2020,NSA,Prov Offence Notice - Part I (Pot),Distracted Driving,Adult,1
2020,NSA,Prov Offence Notice - Part I (Pot),Distracted Driving,Adult,1
2020,NSA,Prov Offence Notice - Part I (Pot),Aggressive Driving,Adult,1
2020,NSA,Prov Offence Notice - Part I (Pot),Distracted Driving,Adult,1
2020,NSA,Prov Offence Notice - Part I (Pot),Other HTA,Adult,1
2020,NSA,Prov Offence Notice - Part I (Pot),All CAIA,Adult,1
2020,NSA,Prov Offence Notice - Part I (Pot),Distracted Driving,Adult,1
2020,NSA,Prov Offence Notice - Part I (Pot),Distracted Driving,Adult,1
2020,NSA,Prov Offence Notice - Part I (Pot),Aggressive Driving,Adult,1
2020,NSA,Prov Offence Notice - Part I (Pot),Aggressive Driving,Adult,1
2020,NSA,Prov Offence Notice - Part I (Pot),Speeding,Adult,1
2020,NSA,Prov Offence Notice - Part I (Pot),Aggressive Driving,Adult,1
2020,NSA,Prov Offence Notice - Part I (Pot),Aggressive Driving,Adult,1
2020,NSA,Prov Offence Notice - Part I (Pot),Speeding,Adult,1
2020,NSA,Prov Offence Notice - Part I (Pot),Speeding,Adult,1
2020,NSA,Prov Offence Notice - Part I (Pot),All CAIA,Adult,1
2020,NSA,Prov Offence Notice - Part I (Pot),Distracted Driving,Adult,1
2020,NSA,Prov Offence Notice - Part I (Pot),Speeding,Adult,1
2020,NSA,Prov Offence Notice - Part I (Pot),Distracted Driving,Adult,1
2020,NSA,Prov Offence Notice - Part I (Pot),All CAIA,Adult,1
2020,NSA,Prov Offence Notice - Part I (Pot),Aggressive Driving,Adult,1
2020,NSA,Prov Offence Notice - Part I (Pot),Aggressive Driving,Adult,1
2020,NSA,Prov Offence Notice - Part I (Pot),Distracted Driving,Adult,1
2020,NSA,Prov Offence Notice - Part I (Pot),All CAIA,Adult,1
2020,NSA,Prov Offence Notice - Part I (Pot),Distracted Driving,Adult,1
2020,NSA,Prov Offence Notice - Part I (Pot),Distracted Driving,Adult,1
2020,NSA,Prov Offence Notice - Part I (Pot),Other HTA,Adult,1
2020,NSA,Prov Offence Notice - Part I (Pot),Speeding,Adult,1
2020,NSA,Prov Offence Notice - Part I (Pot),All CAIA,Adult,1
2020,NSA,Prov Offence Notice - Part I (Pot),Speeding,Adult,1
2020,NSA,Prov Offence Notice - Part I (Pot),Aggressive Driving,Adult,1
2020,NSA,Prov Offence Notice - Part I (Pot),Aggressive Driving,Adult,1
2020,NSA,Prov Offence Notice - Part I (Pot),Aggressive Driving,Adult,1
2020,NSA,Prov Offence Notice - Part I (Pot),Other HTA,Adult,1
2020,NSA,Prov Offence Notice - Part I (Pot),Other HTA,Adult,1
2020,NSA,Prov Offence Notice - Part I (Pot),Aggressive Driving,Adult,1
2020,NSA,Prov Offence Notice - Part I (Pot),Aggressive Driving,Adult,1
2020,NSA,Prov Offence Notice - Part I (Pot),Speeding,Adult,1
2020,NSA,Prov Offence Notice - Part I (Pot),Aggressive Driving,Adult,1
2020,NSA,Prov Offence Notice - Part I (Pot),Speeding,Adult,1
2020,NSA,Prov Offence Notice - Part I (Pot),Aggressive Driving,Adult,1
2020,NSA,Prov Offence Notice - Part I (Pot),Aggressive Driving,Adult,1
2020,NSA,Prov Offence Notice - Part I (Pot),All CAIA,Adult,1
2020,NSA,Prov Offence Notice - Part I (Pot),Other HTA,Adult,1
2020,NSA,Prov Offence Notice - Part I (Pot),Speeding,Adult,1
2020,NSA,Prov Offence Notice - Part I (Pot),Distracted Driving,Adult,1
2020,NSA,Prov Offence Notice - Part I (Pot),Distracted Driving,Adult,1
2020,NSA,Prov Offence Notice - Part I (Pot),Other HTA,Adult,1
2020,NSA,Prov Offence Notice - Part I (Pot),Other HTA,Adult,1
2020,NSA,Prov Offence Notice - Part I (Pot),Other HTA,Adult,1
2020,NSA,Prov Offence Notice - Part I (Pot),Speeding,Adult,1
2020,NSA,Prov Offence Notice - Part I (Pot),Other HTA,Adult,1
2020,NSA,Prov Offence Notice - Part I (Pot),Distracted Driving,Adult,1
2020,NSA,Prov Offence Notice - Part I (Pot),Distracted Driving,Adult,1
2020,NSA,Prov Offence Notice - Part I (Pot),Other HTA,Adult,1
2020,NSA,Prov Offence Notice - Part I (Pot),Distracted Driving,Adult,1
2020,NSA,Prov Offence Notice - Part I (Pot),Distracted Driving,Adult,1
2020,NSA,Prov Offence Notice - Part I (Pot),Other HTA,Adult,1
2019,NSA,Prov Offence Notice - Part I (Pot),Other HTA,Adult,1
2022,NSA,Prov Offence Summons Part III Form 104,Speeding,Adult,1
2019,NSA,Prov Offence Summons Part III Form 104,Other HTA,Adult,1
2022,NSA,Prov Offence Notice - Part I (Pot),All CAIA,Adult,1
2019,NSA,Prov Offence Notice - Part I (Pot),All CAIA,Adult,1
2019,NSA,Prov Offence Notice - Part I (Pot),Aggressive Driving,Adult,1
2019,NSA,Prov Offence Notice - Part I (Pot),Other HTA,Adult,1
2022,NSA,Prov Offence Notice - Part I (Pot),Distracted Driving,Adult,1
2019,NSA,Prov Offence Notice - Part I (Pot),All CAIA,Adult,1
2022,NSA,Prov Offence Summons Part III Form 104,All CAIA,Adult,1
2019,NSA,Prov Offence Notice - Part I (Pot),Other HTA,Adult,1
2022,NSA,Prov Offence Notice - Part I (Pot),All CAIA,Adult,1
2019,NSA,Prov Offence Summons Part III Form 104,Other HTA,Adult,1
2022,NSA,Prov Offence Notice - Part I (Pot),All CAIA,Adult,1
2019,NSA,Prov Offence Notice - Part I (Pot),Speeding,Adult,1
2022,NSA,Prov Offence Notice - Part I (Pot),Speeding,Adult,1
2019,NSA,Prov Offence Notice - Part I (Pot),Other HTA,Adult,1
2022,NSA,Prov Offence Summons Part III Form 104,Speeding,Adult,1
2019,NSA,Prov Offence Notice - Part I (Pot),Other HTA,Adult,1
2022,NSA,Prov Offence Summons Part III Form 104,Speeding,Adult,1
2019,NSA,Prov Offence Notice - Part I (Pot),Aggressive Driving,Adult,1
2022,NSA,Prov Offence Notice - Part I (Pot),Speeding,Adult,1
2019,NSA,Prov Offence Notice - Part I (Pot),Aggressive Driving,Adult,1
2022,NSA,Prov Offence Notice - Part I (Pot),Speeding,Adult,1
2019,NSA,Prov Offence Notice - Part I (Pot),Aggressive Driving,Adult,1
2022,NSA,Prov Offence Notice - Part I (Pot),Other HTA,Adult,1
2019,NSA,Prov Offence Summons Part III Form 104,Other HTA,Adult,1
2022,NSA,Prov Offence Summons Part III Form 104,Other HTA,Adult,1
2019,NSA,Prov Offence Summons Part III Form 104,All CAIA,Adult,1
2022,NSA,Prov Offence Summons Part III Form 104,All CAIA,Adult,1
2019,NSA,Prov Offence Notice - Part I (Pot),Speeding,Adult,1
2022,NSA,Prov Offence Notice - Part I (Pot),All CAIA,Adult,1
2019,NSA,Prov Offence Notice - Part I (Pot),Aggressive Driving,Adult,1
2022,NSA,Prov Offence Notice - Part I (Pot),Distracted Driving,Adult,1
2019,NSA,Prov Offence Summons Part III Form 104,Other HTA,Adult,1
2022,NSA,Prov Offence Notice - Part I (Pot),Aggressive Driving,Adult,1
2022,NSA,Prov Offence Notice - Part I (Pot),Other HTA,Adult,1
2022,NSA,Prov Offence Summons Part III Form 104,All CAIA,Adult,1
2022,NSA,Prov Offence Notice - Part I (Pot),Aggressive Driving,Adult,1
2022,NSA,Prov Offence Notice - Part I (Pot),Other HTA,Adult,1
2022,NSA,Prov Offence Summons Part III Form 104,All CAIA,Adult,1
2022,NSA,Prov Offence Notice - Part I (Pot),Distracted Driving,Adult,1
2022,NSA,Prov Offence Notice - Part I (Pot),Aggressive Driving,Adult,1
2022,NSA,Prov Offence Notice - Part I (Pot),Other HTA,Adult,1
2022,NSA,Prov Offence Notice - Part I (Pot),Aggressive Driving,Adult,1
2022,NSA,Prov Offence Summons Part III Form 104,Other HTA,Adult,1
2022,NSA,Prov Offence Notice - Part I (Pot),Distracted Driving,Adult,1
2022,NSA,Prov Offence Notice - Part I (Pot),All CAIA,Adult,1
2022,NSA,Prov Offence Notice - Part I (Pot),Aggressive Driving,Adult,1
2022,NSA,Prov Offence Notice - Part I (Pot),Other HTA,Adult,1
2022,NSA,Prov Offence Summons Part III Form 104,Aggressive Driving,Adult,1
2022,NSA,Prov Offence Notice - Part I (Pot),Speeding,Adult,1
2022,NSA,Prov Offence Summons Part III Form 104,Speeding,Adult,1
2022,NSA,Prov Offence Notice - Part I (Pot),Other HTA,Adult,1
2022,NSA,Prov Offence Notice - Part I (Pot),Speeding,Adult,1
2022,NSA,Prov Offence Notice - Part I (Pot),All CAIA,Adult,1
2022,NSA,Prov Offence Summons Part III Form 104,All CAIA,Adult,1
2022,NSA,Prov Offence Notice - Part I (Pot),Other HTA,Adult,1
2022,NSA,Prov Offence Summons Part III Form 104,Other HTA,Adult,1
2022,NSA,Prov Offence Notice - Part I (Pot),Aggressive Driving,Adult,1
2022,NSA,Prov Offence Summons Part III Form 104,All CAIA,Adult,1
2022,NSA,Prov Offence Notice - Part I (Pot),Speeding,Adult,1
2022,NSA,Prov Offence Notice - Part I (Pot),Speeding,Adult,1
2022,NSA,Prov Offence Notice - Part I (Pot),All CAIA,Adult,1
2022,NSA,Prov Offence Notice - Part I (Pot),Speeding,Adult,1
2022,NSA,Prov Offence Notice - Part I (Pot),Speeding,Adult,1
2022,NSA,Prov Offence Notice - Part I (Pot),Other HTA,Adult,1
2022,NSA,Prov Offence Notice - Part I (Pot),Other HTA,Adult,1
2022,NSA,Prov Offence Notice - Part I (Pot),Speeding,Adult,1
2019,NSA,Prov Offence Notice - Part I (Pot),Other HTA,Adult,1
2019,NSA,Prov Offence Notice - Part I (Pot),Distracted Driving,Adult,1
2019,NSA,Prov Offence Notice - Part I (Pot),Distracted Driving,Adult,1
2019,NSA,Prov Offence Notice - Part I (Pot),Distracted Driving,Adult,1
2019,NSA,Prov Offence Notice - Part I (Pot),Speeding,Adult,1
2019,NSA,Prov Offence Notice - Part I (Pot),All CAIA,Adult,1
2019,NSA,Prov Offence Notice - Part I (Pot),All CAIA,Adult,1
2019,NSA,Prov Offence Notice - Part I (Pot),Speeding,Adult,1
2019,NSA,Prov Offence Notice - Part I (Pot),Speeding,Adult,1
2019,NSA,Prov Offence Summons Part III Form 104,All CAIA,Adult,1
2019,NSA,Prov Offence Notice - Part I (Pot),Other HTA,Adult,1
2019,NSA,Prov Offence Summons Part III Form 104,Other HTA,Adult,1
2019,NSA,Prov Offence Notice - Part I (Pot),Aggressive Driving,Adult,1
2019,NSA,Prov Offence Notice - Part I (Pot),All CAIA,Adult,1
2019,NSA,Prov Offence Notice - Part I (Pot),Distracted Driving,Adult,1
2019,NSA,Prov Offence Notice - Part I (Pot),Other HTA,Adult,1
2019,NSA,Prov Offence Notice - Part I (Pot),Aggressive Driving,Adult,1
2019,NSA,Prov Offence Summons Part III Form 104,All CAIA,Adult,1
2019,NSA,Prov Offence Notice - Part I (Pot),Other HTA,Adult,1
2019,NSA,Prov Offence Notice - Part I (Pot),Other HTA,Adult,1
2019,NSA,Prov Offence Notice - Part I (Pot),Speeding,Adult,1
2019,NSA,Prov Offence Notice - Part I (Pot),Other HTA,Adult,1
2019,NSA,Prov Offence Notice - Part I (Pot),Other HTA,Adult,1
2019,NSA,Prov Offence Notice - Part I (Pot),Other HTA,Adult,1
2019,NSA,Prov Offence Summons Part III Form 104,All CAIA,Adult,1
2019,NSA,Prov Offence Notice - Part I (Pot),Aggressive Driving,Adult,1
2019,NSA,Prov Offence Summons Part III Form 104,Speeding,Adult,1
2019,NSA,Prov Offence Notice - Part I (Pot),Aggressive Driving,Adult,1
2019,NSA,Prov Offence Summons Part III Form 104,All CAIA,Adult,1
2019,NSA,Prov Offence Summons Part III Form 104,All CAIA,Adult,1
2019,NSA,Prov Offence Notice - Part I (Pot),Distracted Driving,Adult,1
2019,NSA,Prov Offence Notice - Part I (Pot),Speeding,Adult,1
2019,NSA,Prov Offence Notice - Part I (Pot),Distracted Driving,Adult,1
2019,NSA,Prov Offence Notice - Part I (Pot),Aggressive Driving,Adult,1
2019,NSA,Prov Offence Summons Part III Form 104,Speeding,Adult,1
2019,NSA,Prov Offence Notice - Part I (Pot),Distracted Driving,Adult,1
2019,NSA,Prov Offence Notice - Part I (Pot),Aggressive Driving,Adult,1
2019,NSA,Prov Offence Notice - Part I (Pot),All CAIA,Adult,1
2019,NSA,Prov Offence Notice - Part I (Pot),All CAIA,Adult,1
2019,NSA,Prov Offence Notice - Part I (Pot),All CAIA,Adult,1
2019,NSA,Prov Offence Notice - Part I (Pot),Aggressive Driving,Adult,1
2019,NSA,Prov Offence Notice - Part I (Pot),All CAIA,Adult,1
2019,NSA,Prov Offence Notice - Part I (Pot),Speeding,Adult,1
2019,NSA,Prov Offence Notice - Part I (Pot),All CAIA,Adult,1
2019,NSA,Prov Offence Notice - Part I (Pot),Distracted Driving,Adult,1
2019,NSA,Prov Offence Notice - Part I (Pot),Speeding,Adult,1
2019,NSA,Prov Offence Notice - Part I (Pot),Distracted Driving,Adult,1
2019,NSA,Prov Offence Notice - Part I (Pot),Aggressive Driving,Adult,1
2019,NSA,Prov Offence Notice - Part I (Pot),Aggressive Driving,Adult,1
2019,NSA,Prov Offence Summons Part III Form 104,Other HTA,Adult,1
2019,NSA,Prov Offence Notice - Part I (Pot),Distracted Driving,Adult,1
2019,NSA,Prov Offence Notice - Part I (Pot),Speeding,Adult,1
2019,NSA,Prov Offence Notice - Part I (Pot),Aggressive Driving,Adult,1
2019,NSA,Prov Offence Notice - Part I (Pot),All CAIA,Adult,1
2019,NSA,Prov Offence Notice - Part I (Pot),Other HTA,Adult,1
2019,NSA,Prov Offence Notice - Part I (Pot),Other HTA,Adult,1
2019,NSA,Prov Offence Notice - Part I (Pot),All CAIA,Adult,1
2019,NSA,Prov Offence Notice - Part I (Pot),Aggressive Driving,Adult,1
2019,NSA,Prov Offence Notice - Part I (Pot),Aggressive Driving,Adult,1
2019,NSA,Prov Offence Notice - Part I (Pot),Aggressive Driving,Adult,1
2019,NSA,Prov Offence Summons Part III Form 104,Speeding,Adult,1
2019,NSA,Prov Offence Notice - Part I (Pot),Other HTA,Adult,1
2019,NSA,Prov Offence Summons Part III Form 104,All CAIA,Adult,1
2019,NSA,Prov Offence Notice - Part I (Pot),Aggressive Driving,Adult,1
2019,NSA,Prov Offence Summons Part III Form 104,All CAIA,Adult,1
2019,NSA,Prov Offence Notice - Part I (Pot),Aggressive Driving,Adult,1
2019,NSA,Prov Offence Summons Part III Form 104,Speeding,Adult,1
2019,NSA,Prov Offence Notice - Part I (Pot),Other HTA,Adult,1
2019,NSA,Prov Offence Notice - Part I (Pot),Speeding,Adult,1
2019,NSA,Prov Offence Notice - Part I (Pot),Distracted Driving,Adult,1
2019,NSA,Prov Offence Summons Part III Form 104,Other HTA,Adult,1
2019,NSA,Prov Offence Notice - Part I (Pot),Aggressive Driving,Adult,1
2019,NSA,Prov Offence Summons Part III Form 104,Other HTA,Adult,1
2019,NSA,Prov Offence Notice - Part I (Pot),Distracted Driving,Adult,1
2019,NSA,Prov Offence Notice - Part I (Pot),Other HTA,Adult,1
2019,NSA,Prov Offence Summons Part III Form 104,All CAIA,Adult,1
2019,NSA,Prov Offence Notice - Part I (Pot),Speeding,Adult,1
2019,NSA,Prov Offence Notice - Part I (Pot),Other HTA,Adult,1
2019,NSA,Prov Offence Notice - Part I (Pot),Other HTA,Adult,1
2019,NSA,Prov Offence Summons Part III Form 104,Distracted Driving,Adult,1
2019,NSA,Prov Offence Summons Part III Form 104,Other HTA,Adult,1
2019,NSA,Prov Offence Summons Part III Form 104,Distracted Driving,Adult,1
2019,NSA,Prov Offence Notice - Part I (Pot),Distracted Driving,Adult,1
2019,NSA,Prov Offence Notice - Part I (Pot),Distracted Driving,Adult,1
2019,NSA,Prov Offence Notice - Part I (Pot),Other HTA,Adult,1
2019,NSA,Prov Offence Notice - Part I (Pot),Distracted Driving,Adult,1
2019,NSA,Prov Offence Notice - Part I (Pot),All CAIA,Adult,1
2019,NSA,Prov Offence Notice - Part I (Pot),Distracted Driving,Adult,1
2019,NSA,Prov Offence Summons Part III Form 104,Aggressive Driving,Adult,1
2019,NSA,Prov Offence Summons Part III Form 104,Other HTA,Adult,1
2019,NSA,Prov Offence Notice - Part I (Pot),All CAIA,Adult,1
2019,NSA,Prov Offence Notice - Part I (Pot),All CAIA,Adult,1
2019,NSA,Prov Offence Notice - Part I (Pot),Aggressive Driving,Adult,1
2019,NSA,Prov Offence Notice - Part I (Pot),Other HTA,Adult,1
2019,NSA,Prov Offence Notice - Part I (Pot),Aggressive Driving,Adult,1
2019,NSA,Prov Offence Notice - Part I (Pot),All CAIA,Adult,1
2019,NSA,Prov Offence Notice - Part I (Pot),Other HTA,Adult,1
2022,NSA,Prov Offence Summons Part III Form 104,Other HTA,Adult,1
2022,NSA,Prov Offence Notice - Part I (Pot),Other HTA,Adult,1
2022,NSA,Prov Offence Notice - Part I (Pot),Distracted Driving,Adult,1
2022,NSA,Prov Offence Notice - Part I (Pot),Speeding,Adult,1
2022,NSA,Prov Offence Notice - Part I (Pot),Distracted Driving,Adult,1
2022,NSA,Prov Offence Notice - Part I (Pot),Speeding,Adult,1
2022,NSA,Prov Offence Summons Part III Form 104,Speeding,Adult,1
2022,NSA,Prov Offence Notice - Part I (Pot),Other HTA,Adult,1
2022,NSA,Prov Offence Summons Part III Form 104,Aggressive Driving,Adult,1
2022,NSA,Prov Offence Notice - Part I (Pot),Speeding,Adult,1
2022,NSA,Prov Offence Notice - Part I (Pot),All CAIA,Adult,1
2022,NSA,Prov Offence Notice - Part I (Pot),All CAIA,Adult,1
2022,NSA,Prov Offence Notice - Part I (Pot),Distracted Driving,Adult,1
2022,NSA,Prov Offence Summons Part III Form 104,Distracted Driving,Adult,1
2022,NSA,Prov Offence Notice - Part I (Pot),All CAIA,Adult,1
2022,NSA,Prov Offence Summons Part III Form 104,Other HTA,Adult,1
2022,NSA,Prov Offence Notice - Part I (Pot),Aggressive Driving,Adult,1
2022,NSA,Prov Offence Notice - Part I (Pot),Other HTA,Adult,1
2022,NSA,Prov Offence Notice - Part I (Pot),Speeding,Adult,1
2022,NSA,Prov Offence Notice - Part I (Pot),Aggressive Driving,Adult,1
2022,NSA,Prov Offence Notice - Part I (Pot),Speeding,Adult,1
2022,NSA,Prov Offence Notice - Part I (Pot),Distracted Driving,Adult,1
2022,NSA,Prov Offence Summons Part III Form 104,All CAIA,Adult,1
2022,NSA,Prov Offence Summons Part III Form 104,Other HTA,Adult,1
2022,NSA,Prov Offence Notice - Part I (Pot),Other HTA,Adult,1
2022,NSA,Prov Offence Summons Part III Form 104,All CAIA,Adult,1
2022,NSA,Prov Offence Notice - Part I (Pot),Aggressive Driving,Adult,1
2022,NSA,Prov Offence Notice - Part I (Pot),Other HTA,Adult,1
2022,NSA,Prov Offence Notice - Part I (Pot),Speeding,Adult,1
2022,NSA,Prov Offence Notice - Part I (Pot),Other HTA,Adult,1
2022,NSA,Prov Offence Notice - Part I (Pot),Other HTA,Adult,1
2022,NSA,Prov Offence Notice - Part I (Pot),Speeding,Adult,1
2022,NSA,Prov Offence Notice - Part I (Pot),Aggressive Driving,Adult,1
2022,NSA,Prov Offence Notice - Part I (Pot),Other HTA,Adult,1
2022,NSA,Prov Offence Notice - Part I (Pot),All CAIA,Adult,1
2022,NSA,Prov Offence Notice - Part I (Pot),Aggressive Driving,Adult,1
2022,NSA,Prov Offence Notice - Part I (Pot),Distracted Driving,Adult,1
2022,NSA,Prov Offence Notice - Part I (Pot),Distracted Driving,Adult,1
2022,NSA,Prov Offence Notice - Part I (Pot),Speeding,Adult,1
2022,NSA,Prov Offence Notice - Part I (Pot),Distracted Driving,Adult,1
2022,NSA,Prov Offence Notice - Part I (Pot),Other HTA,Adult,1
2022,NSA,Prov Offence Notice - Part I (Pot),Speeding,Adult,1
2022,NSA,Prov Offence Notice - Part I (Pot),Aggressive Driving,Adult,1
2022,NSA,Prov Offence Notice - Part I (Pot),All CAIA,Adult,1
2022,NSA,Prov Offence Summons Part III Form 104,Other HTA,Adult,1
2022,NSA,Prov Offence Summons Part III Form 104,Aggressive Driving,Adult,1
2022,NSA,Prov Offence Notice - Part I (Pot),All CAIA,Adult,1
2022,NSA,Prov Offence Notice - Part I (Pot),Distracted Driving,Adult,1
2022,NSA,Prov Offence Summons Part III Form 104,Other HTA,Adult,1
2022,NSA,Prov Offence Summons Part III Form 104,All CAIA,Adult,1
2022,NSA,Prov Offence Summons Part III Form 104,Speeding,Adult,1
2022,NSA,Prov Offence Notice - Part I (Pot),Speeding,Adult,1
2022,NSA,Prov Offence Summons Part III Form 104,Speeding,Adult,1
2022,NSA,Prov Offence Notice - Part I (Pot),Distracted Driving,Adult,1
2020,NSA,Prov Offence Notice - Part I (Pot),Aggressive Driving,Adult,1
2020,NSA,Prov Offence Notice - Part I (Pot),All CAIA,Adult,1
2020,NSA,Prov Offence Notice - Part I (Pot),Speeding,Adult,1
2020,NSA,Prov Offence Notice - Part I (Pot),All CAIA,Adult,1
2020,NSA,Prov Offence Notice - Part I (Pot),Other HTA,Adult,1
2020,NSA,Prov Offence Notice - Part I (Pot),Aggressive Driving,Adult,1
2020,NSA,Prov Offence Notice - Part I (Pot),Aggressive Driving,Adult,1
2020,NSA,Prov Offence Notice - Part I (Pot),Speeding,Adult,1
2023,D42,Prov Offence Notice - Part I (Pot),Other HTA,Adult,1
2022,D41,Prov Offence Summons Part III Form 104,Other HTA,Adult,1
